arrival_time,departure_time,target_soc,initial_soc
2026-05-11 11:18:38,2026-05-11 11:20:49.993,0.5,0.2547912097111926
2026-05-11 11:27:44,2026-05-11 11:29:50.816,0.5,0.1877756879504104
2026-05-11 11:31:48,2026-05-11 11:34:04.878,0.5,0.2717195839822764
2026-05-11 11:41:44,2026-05-11 11:44:17.736,0.5,0.2394736058118727
2026-05-11 18:49:32,2026-05-11 18:52:16.981,0.5,0.1188354695775299
2026-05-11 19:11:28,2026-05-11 19:12:52.278,0.5,0.2951244703273512
2026-05-14 14:20:49,2026-05-14 14:22:42.535,0.5,0.2522279403980706
2026-05-14 14:28:25,2026-05-14 14:30:39.073,0.5,0.2572128610553907
2026-05-17 15:51:04,2026-05-17 15:53:52.926,0.5,0.1256227265351091
2026-05-17 16:43:22,2026-05-17 16:46:10.340,0.5,0.1900771875791134
2026-05-18 12:26:50,2026-05-18 12:28:19.417,0.5,0.1741596048465162
