date,temp_c,radiation_wm2,humidity_pct,sunshine_duration_s
2026-05-11 00:00:00+00:00,12.05,0.0,70.750755,0.0
2026-05-11 01:00:00+00:00,11.7,0.0,73.15017,0.0
2026-05-11 02:00:00+00:00,11.15,0.0,76.64358,0.0
2026-05-11 03:00:00+00:00,10.75,0.0,80.33643,0.0
2026-05-11 04:00:00+00:00,10.9,9.0,81.459404,0.0
2026-05-11 05:00:00+00:00,11.9,59.0,78.61063,0.0
2026-05-11 06:00:00+00:00,13.0,127.0,73.63341,0.0
2026-05-11 07:00:00+00:00,12.4,66.0,75.809746,0.0
2026-05-11 08:00:00+00:00,13.95,249.0,70.63712,1455.4457
2026-05-11 09:00:00+00:00,14.5,318.0,75.64772,2370.9285
2026-05-11 10:00:00+00:00,17.95,657.0,64.250206,3600.0
2026-05-11 11:00:00+00:00,17.1,463.0,66.45288,3600.0
2026-05-11 12:00:00+00:00,15.55,327.0,77.084816,2236.908
2026-05-11 13:00:00+00:00,14.6,385.0,76.17053,3600.0
2026-05-11 14:00:00+00:00,13.95,352.0,70.63712,3548.3137
2026-05-11 15:00:00+00:00,13.2,349.0,71.45624,2786.9045
2026-05-11 16:00:00+00:00,12.55,304.0,72.55899,3600.0
2026-05-11 17:00:00+00:00,10.85,91.0,77.65181,0.0
2026-05-11 18:00:00+00:00,9.45,21.0,81.54621,0.0
2026-05-11 19:00:00+00:00,8.8,4.0,78.95853,0.0
2026-05-11 20:00:00+00:00,8.5,0.0,80.85678,0.0
2026-05-11 21:00:00+00:00,8.5,0.0,81.13779,0.0
2026-05-11 22:00:00+00:00,7.95,0.0,83.06139,0.0
2026-05-11 23:00:00+00:00,7.35,0.0,84.15309,0.0
2026-05-12 00:00:00+00:00,7.35,0.0,85.03711,0.0
2026-05-12 01:00:00+00:00,6.95,0.0,84.400925,0.0
2026-05-12 02:00:00+00:00,6.4,0.0,84.04181,0.0
2026-05-12 03:00:00+00:00,5.75,0.0,82.49417,0.0
2026-05-12 04:00:00+00:00,5.4,13.0,83.33095,560.7971
2026-05-12 05:00:00+00:00,5.9,111.0,80.20973,3600.0
2026-05-12 06:00:00+00:00,6.75,264.0,71.2085,3600.0
2026-05-12 07:00:00+00:00,7.4,335.0,66.42535,3600.0
2026-05-12 08:00:00+00:00,7.55,286.0,66.45827,1388.8397
2026-05-12 09:00:00+00:00,8.15,309.0,63.11821,0.0
2026-05-12 10:00:00+00:00,9.3,518.0,56.747078,3600.0
2026-05-12 11:00:00+00:00,9.6,643.0,56.82471,3600.0
2026-05-12 12:00:00+00:00,10.15,621.0,57.170113,3600.0
2026-05-12 13:00:00+00:00,11.1,742.0,50.863274,3600.0
2026-05-12 14:00:00+00:00,11.65,709.0,50.65158,3600.0
2026-05-12 15:00:00+00:00,11.6,582.0,50.637768,3600.0
2026-05-12 16:00:00+00:00,9.95,392.0,56.106804,3600.0
2026-05-12 17:00:00+00:00,7.45,182.0,82.42222,3600.0
2026-05-12 18:00:00+00:00,7.05,53.0,82.082886,1024.0885
2026-05-12 19:00:00+00:00,6.45,11.0,90.76571,0.0
2026-05-12 20:00:00+00:00,6.7,0.0,95.29325,0.0
2026-05-12 21:00:00+00:00,7.2,0.0,94.00826,0.0
2026-05-12 22:00:00+00:00,7.1,0.0,93.35737,0.0
2026-05-12 23:00:00+00:00,6.7,0.0,93.33676,0.0
2026-05-13 00:00:00+00:00,6.5,0.0,92.68123,0.0
2026-05-13 01:00:00+00:00,5.9,0.0,93.29525,0.0
2026-05-13 02:00:00+00:00,5.55,0.0,94.91911,0.0
2026-05-13 03:00:00+00:00,5.7,0.0,94.265945,0.0
2026-05-13 04:00:00+00:00,5.75,10.0,93.940254,0.0
2026-05-13 05:00:00+00:00,6.3,57.0,93.64062,1049.6471
2026-05-13 06:00:00+00:00,6.5,71.0,92.03998,0.0
2026-05-13 07:00:00+00:00,7.75,191.0,83.61636,2140.2334
2026-05-13 08:00:00+00:00,8.4,209.0,80.28324,0.0
2026-05-13 09:00:00+00:00,10.0,394.0,78.59393,3600.0
2026-05-13 10:00:00+00:00,11.55,613.0,70.410736,3600.0
2026-05-13 11:00:00+00:00,11.55,367.0,65.25156,0.0
2026-05-13 12:00:00+00:00,11.2,525.0,65.62941,3600.0
2026-05-13 13:00:00+00:00,12.95,727.0,49.058308,3600.0
2026-05-13 14:00:00+00:00,10.85,368.0,65.095955,3424.51
2026-05-13 15:00:00+00:00,12.3,456.0,56.515354,3600.0
2026-05-13 16:00:00+00:00,12.65,375.0,52.947346,3600.0
2026-05-13 17:00:00+00:00,11.4,232.0,62.545704,3600.0
2026-05-13 18:00:00+00:00,9.6,110.0,77.993,3600.0
2026-05-13 19:00:00+00:00,9.0,20.0,82.334496,1609.7017
2026-05-13 20:00:00+00:00,8.45,0.0,88.749374,0.0
2026-05-13 21:00:00+00:00,7.95,0.0,91.18377,0.0
2026-05-13 22:00:00+00:00,7.75,0.0,88.38417,0.0
2026-05-13 23:00:00+00:00,7.1,0.0,92.07666,0.0
2026-05-14 00:00:00+00:00,6.75,0.0,93.987274,0.0
2026-05-14 01:00:00+00:00,6.7,0.0,93.33676,0.0
2026-05-14 02:00:00+00:00,6.6,0.0,96.2821,0.0
2026-05-14 03:00:00+00:00,6.6,0.0,96.2821,0.0
2026-05-14 04:00:00+00:00,6.55,15.0,96.28063,44.561745
2026-05-14 05:00:00+00:00,7.35,83.0,94.99016,1517.666
2026-05-14 06:00:00+00:00,7.35,189.0,92.409996,3600.0
2026-05-14 07:00:00+00:00,8.45,284.0,87.23705,3600.0
2026-05-14 08:00:00+00:00,9.05,427.0,79.269875,3600.0
2026-05-14 09:00:00+00:00,9.9,449.0,69.84057,3600.0
2026-05-14 10:00:00+00:00,10.85,601.0,63.967503,3600.0
2026-05-14 11:00:00+00:00,12.0,689.0,63.784374,3600.0
2026-05-14 12:00:00+00:00,11.4,460.0,66.361336,3600.0
2026-05-14 13:00:00+00:00,12.3,652.0,60.61094,3600.0
2026-05-14 14:00:00+00:00,11.35,494.0,67.511505,3600.0
2026-05-14 15:00:00+00:00,11.6,426.0,67.09821,3600.0
2026-05-14 16:00:00+00:00,11.3,390.0,68.20633,3600.0
2026-05-14 17:00:00+00:00,11.15,280.0,69.60656,3600.0
2026-05-14 18:00:00+00:00,9.55,128.0,81.27948,3600.0
2026-05-14 19:00:00+00:00,8.45,16.0,90.594696,279.9562
2026-05-14 20:00:00+00:00,8.0,0.0,88.40598,0.0
2026-05-14 21:00:00+00:00,7.3,0.0,90.825516,0.0
2026-05-14 22:00:00+00:00,6.7,0.0,92.692535,0.0
2026-05-14 23:00:00+00:00,6.15,0.0,93.95913,0.0
2026-05-15 00:00:00+00:00,6.1,0.0,89.16979,0.0
2026-05-15 01:00:00+00:00,5.8,0.0,91.67607,0.0
2026-05-15 02:00:00+00:00,5.3,0.0,94.909134,0.0
2026-05-15 03:00:00+00:00,4.8,0.0,96.228874,0.0
2026-05-15 04:00:00+00:00,5.1,17.0,94.56953,1300.3253
2026-05-15 05:00:00+00:00,6.5,117.0,89.51405,3600.0
2026-05-15 06:00:00+00:00,8.2,270.0,86.61369,3600.0
2026-05-15 07:00:00+00:00,10.65,431.0,72.456566,3600.0
2026-05-15 08:00:00+00:00,12.0,574.0,63.342884,3600.0
2026-05-15 09:00:00+00:00,12.7,564.0,57.818367,3600.0
2026-05-15 10:00:00+00:00,13.7,732.0,51.393925,3600.0
2026-05-15 11:00:00+00:00,14.25,717.0,47.54071,3600.0
