date,id,lat,lon,pluggedin,powerrating,is_holiday_x,price,price_3h_future,temp_c,radiation_wm2,humidity_pct,is_holiday_y,load,pv
2025-01-01 00:00:00,2,52.52,13.41,True,11.0,1,0.0016,-1e-05,0.75,0.0,83.35593,1,9.415156083507934,0.0
2025-01-01 01:00:00,2,52.52,13.41,True,11.0,1,0.0,-5.9999999999999995e-05,2.05,0.0,83.214005,1,7.073054801587247,0.0
2025-01-01 02:00:00,2,52.52,13.41,True,11.0,1,-1e-05,-8.999999999999999e-05,2.5,0.0,82.36849,1,6.709104204434192,0.0
2025-01-01 03:00:00,2,52.52,13.41,True,11.0,1,-1e-05,-1e-05,3.05,0.0,81.550354,1,6.5564073156654095,0.0
2025-01-01 04:00:00,2,52.52,13.41,True,11.0,1,-5.9999999999999995e-05,-1e-05,3.55,0.0,80.73963,1,9.452826023609704,0.0
2025-01-01 05:00:00,2,52.52,13.41,True,11.0,1,-8.999999999999999e-05,-4e-05,3.9,0.0,79.34652,1,8.451349317156463,0.0
2025-01-01 06:00:00,2,52.52,13.41,True,11.0,1,-1e-05,-2.9999999999999997e-05,4.05,0.0,78.51534,1,6.708708386312879,0.0
2025-01-01 07:00:00,2,52.52,13.41,True,11.0,1,-1e-05,-0.0001,4.2,0.0,78.53854,1,5.363487734190105,0.0
2025-01-01 08:00:00,2,52.52,13.41,True,11.0,1,-4e-05,-5e-05,4.55,4.0,77.47052,1,20.88086780688383,0.04
2025-01-01 09:00:00,2,52.52,13.41,True,11.0,1,-2.9999999999999997e-05,-0.0001,4.95,39.0,75.33851,1,15.58779852103657,0.39
2025-01-01 10:00:00,2,52.52,13.41,True,11.0,1,-0.0001,-0.00101,5.55,86.0,73.30874,1,17.498201551632373,0.86
2025-01-01 11:00:00,2,52.6,13.5,False,0.0,1,-5e-05,-1e-05,6.0,101.0,71.061356,1,15.586853005078328,1.01
2025-01-01 12:00:00,2,52.6,13.5,False,0.0,1,-0.0001,-1e-05,6.3,136.0,68.85937,1,16.170300844030915,1.36
2025-01-01 13:00:00,2,52.6,13.5,False,0.0,1,-0.00101,7.000000000000001e-05,6.65,77.0,72.98921,1,15.852655588428236,0.77
2025-01-01 14:00:00,2,52.6,13.5,False,0.0,1,-1e-05,0.00101,6.9,71.0,68.24691,1,23.1379969350115,0.71
2025-01-01 15:00:00,2,52.6,13.5,False,0.0,1,-1e-05,0.00148,6.7,14.0,68.44986,1,17.75795690734252,0.14
2025-01-01 16:00:00,2,52.6,13.5,False,0.0,1,7.000000000000001e-05,0.001,6.4,0.0,68.63307,1,24.360222639802,0.0
2025-01-01 17:00:00,2,52.52,13.41,True,11.0,1,0.00101,7.000000000000001e-05,5.95,0.0,70.5425,1,22.759131838595955,0.0
2025-01-01 18:00:00,2,52.52,13.41,True,11.0,1,0.00148,0.01005,5.6,0.0,73.317986,1,24.856102696744266,0.0
2025-01-01 19:00:00,2,52.52,13.41,True,11.0,1,0.001,0.00701,5.75,0.0,72.56036,1,20.0844229421948,0.0
2025-01-01 20:00:00,2,52.52,13.41,True,11.0,1,7.000000000000001e-05,0.0025499999999999997,6.1,0.0,72.62634,1,17.69237123063195,0.0
2025-01-01 21:00:00,2,52.52,13.41,True,11.0,1,0.01005,0.00156,6.4,0.0,71.13997,1,8.755478409428534,0.0
2025-01-01 22:00:00,2,52.52,13.41,True,11.0,1,0.00701,0.0034500000000000004,6.4,0.0,71.13997,1,8.46040652033604,0.0
2025-01-01 23:00:00,2,52.52,13.41,True,11.0,1,0.0025499999999999997,0.007019999999999999,6.1,0.0,75.80652,1,5.938453107664402,0.0
2025-01-02 00:00:00,2,52.52,13.41,True,11.0,0,0.00156,0.01275,6.1,0.0,79.95475,0,8.473117659278163,0.0
2025-01-02 01:00:00,2,52.52,13.41,True,11.0,0,0.0034500000000000004,0.03007,6.7,0.0,82.90599,0,9.23584466023726,0.0
2025-01-02 02:00:00,2,52.52,13.41,True,11.0,0,0.007019999999999999,0.06713,6.65,0.0,88.595695,0,6.895238829564732,0.0
2025-01-02 03:00:00,2,52.52,13.41,True,11.0,0,0.01275,0.09883,6.15,0.0,93.30827,0,9.16432922481443,0.0
2025-01-02 04:00:00,2,52.52,13.41,True,11.0,0,0.03007,0.12153,6.0,0.0,92.65286,0,6.79611032377149,0.0
2025-01-02 05:00:00,2,52.52,13.41,True,11.0,0,0.06713,0.12723,5.6,0.0,90.70534,0,7.383917162611291,0.0
2025-01-02 06:00:00,2,52.52,13.41,True,11.0,0,0.09883,0.12635,5.1,0.0,91.95343,0,6.261488790779717,0.0
2025-01-02 07:00:00,2,52.52,13.41,True,11.0,0,0.12153,0.11997,4.4,0.0,84.70556,0,7.689080151559565,0.0
2025-01-02 08:00:00,2,52.52,13.41,True,11.0,0,0.12723,0.11595,3.85,6.0,78.20128,0,16.25728205299383,0.06
2025-01-02 09:00:00,2,52.535,13.43,False,0.0,0,0.12635,0.1139,3.7,57.0,73.76599,0,24.762663100485952,0.57
2025-01-02 10:00:00,2,52.55,13.45,True,3.6,0,0.11997,0.12221,3.8,119.0,73.78434,0,21.986719623856512,1.19
